"","input","filtered","denoisedF","denoisedR","merged","nonchim","filter_pct","denoiseF_pct","denoiseR_pct","merge_pct","chimera_pct","overall_pct"
"M1.D2F31.1",116937,112537,107673,107031,86602,33507,96.24,95.68,95.11,80.43,38.69,28.65
"M10.D5F31.12",114070,110659,106257,106019,93430,38839,97.01,96.02,95.81,87.93,41.57,34.05
"M11.D2C21.1",55841,54197,51609,51060,42520,21006,97.06,95.22,94.21,82.39,49.4,37.62
"M12.D2F41.13",112314,109248,104172,104501,87234,38223,97.27,95.35,95.65,83.74,43.82,34.03
"M13.D2C11.13",100411,97577,93950,93839,75939,32533,97.18,96.28,96.17,80.83,42.84,32.4
"M15.D5F31.7",113587,110742,107905,107480,91788,38335,97.5,97.44,97.05,85.06,41.76,33.75
"M18.D1F41.1",87861,84794,81528,81135,65890,28694,96.51,96.15,95.68,80.82,43.55,32.66
"M19.D1C22.1",101070,97938,94725,94169,82607,44713,96.9,96.72,96.15,87.21,54.13,44.24
"M2.D5C11.1",107075,104703,101577,101152,85432,37476,97.78,97.01,96.61,84.11,43.87,35
"M20.D1C22.10",100891,97378,93508,93403,78312,36261,96.52,96.03,95.92,83.75,46.3,35.94
"M21.D5C12.12",100544,97129,92359,92726,76650,33908,96.6,95.09,95.47,82.99,44.24,33.72
"M22.D1C11.10",106276,103477,100628,100062,88248,40080,97.37,97.25,96.7,87.7,45.42,37.71
"M23.D5F41.1",63247,61694,59057,58916,47931,21664,97.54,95.73,95.5,81.16,45.2,34.25
"M24.D2F31.13",103041,99657,95367,95437,80930,39021,96.72,95.7,95.77,84.86,48.22,37.87
"M25.D1C12.7",100137,97494,93116,93071,70497,27405,97.36,95.51,95.46,75.71,38.87,27.37
"M26.D1F42.7",102670,99773,95524,95731,73815,28724,97.18,95.74,95.95,77.27,38.91,27.98
"M27.D4C21.15",102468,100029,97336,96839,81091,35832,97.62,97.31,96.81,83.31,44.19,34.97
"M28.D2C22.8",114400,111820,108062,108002,84072,30792,97.74,96.64,96.59,77.8,36.63,26.92
"M29.D2C11.8",94120,91909,88547,88967,71351,30201,97.65,96.34,96.8,80.58,42.33,32.09
"M30.D2C12.13",61404,60044,57086,57367,44052,17675,97.79,95.07,95.54,77.17,40.12,28.78
"M33.D2F41.8",74475,71257,65015,65518,49225,22309,95.68,91.24,91.95,75.71,45.32,29.96
"M34.D5C12.7",113229,110541,107146,106799,89374,35077,97.63,96.93,96.61,83.41,39.25,30.98
"M35.D5C21.1",56107,54711,52466,51982,41862,18830,97.51,95.9,95.01,79.79,44.98,33.56
"M36.D5F42.12",109237,106320,100475,101093,79897,34574,97.33,94.5,95.08,79.52,43.27,31.65
"M37.D1F32.7",102304,99261,94915,95263,74771,28626,97.03,95.62,95.97,78.78,38.28,27.98
"M38.D1F32.1",110251,107412,104402,104429,88098,39067,97.42,97.2,97.22,84.38,44.34,35.43
"M39.D1F32.10",107652,105099,102149,101744,86432,41635,97.63,97.19,96.81,84.61,48.17,38.68
"M4.D1C21.7",103964,101527,97827,97207,77645,31734,97.66,96.36,95.74,79.37,40.87,30.52
"M40.D2C21.8",108522,106001,102409,101992,80845,33906,97.68,96.61,96.22,78.94,41.94,31.24
"M41.D2F32.8",86358,83844,80329,80346,62351,25627,97.09,95.81,95.83,77.62,41.1,29.68
"M43.D2C11.1",109808,106794,102802,102342,87240,44259,97.26,96.26,95.83,84.86,50.73,40.31
"M44.D2C22.1",117603,114309,108821,108800,89533,43536,97.2,95.2,95.18,82.28,48.63,37.02
"M45.D2F32.13",112197,109307,103183,103750,82446,34354,97.42,94.4,94.92,79.9,41.67,30.62
"M48.D5F32.1",101375,96792,88683,88964,69858,32648,95.48,91.62,91.91,78.77,46.73,32.21
"M49.D5F31.1",115379,112125,108541,108457,90472,38842,97.18,96.8,96.73,83.35,42.93,33.66
"M50.D1C22.7",100626,98157,93504,94017,73642,27843,97.55,95.26,95.78,78.76,37.81,27.67
"M51.D1C12.1",113632,110894,106969,106441,85472,34768,97.59,96.46,95.98,79.9,40.68,30.6
"M52.D1C12.10",102214,99388,95104,95807,77171,28533,97.24,95.69,96.4,81.14,36.97,27.91
"M53.D2C12.1",38124,36962,34110,34421,26029,11815,96.95,92.28,93.13,76.31,45.39,30.99
"M55.D2F41.1",87053,85156,82078,82293,65495,29169,97.82,96.39,96.64,79.8,44.54,33.51
"M56.D2F42.1",86713,84368,79849,80291,62323,27253,97.3,94.64,95.17,78.05,43.73,31.43
"M57.D5C22.12",85327,83256,80378,80709,67654,30769,97.57,96.54,96.94,84.17,45.48,36.06
"M58.D5C11.12",117494,114870,111876,111737,94222,34851,97.77,97.39,97.27,84.22,36.99,29.66
"M60.D5C22.1",99473,96798,93038,93277,79053,35199,97.31,96.12,96.36,84.97,44.53,35.39
"M63.D1F42.10",100309,97963,94810,94777,77368,32081,97.66,96.78,96.75,81.6,41.47,31.98
"M64.D2F42.13",106106,103596,99624,99896,80641,30242,97.63,96.17,96.43,80.95,37.5,28.5
"M65.D5C21.12",43668,42495,39750,40607,32026,14214,97.31,93.54,95.56,80.57,44.38,32.55
"M66.D5C21.7",81511,79620,76179,76809,62915,24433,97.68,95.68,96.47,82.59,38.83,29.98
"M67.D1F41.7",89276,87295,84229,83966,66254,27338,97.78,96.49,96.19,78.66,41.26,30.62
"M69.D1C21.10",72834,71321,68910,69028,57446,24302,97.92,96.62,96.78,83.36,42.3,33.37
"M7.D1F41.10",118080,115279,111587,110644,96571,44984,97.63,96.8,95.98,86.54,46.58,38.1
"M72.D2C22.13",110805,107895,103259,104745,87277,35222,97.37,95.7,97.08,84.52,40.36,31.79
"M73.D1C11.1",118689,115102,111844,112460,97584,44013,96.98,97.17,97.7,87.25,45.1,37.08
"M75.D1F31.7",118666,115669,112231,112048,93484,39051,97.47,97.03,96.87,83.3,41.77,32.91
"M76.D4F32.7",105708,102642,99052,99348,83649,33230,97.1,96.5,96.79,84.45,39.73,31.44
"M77.D1C21.1",74055,71811,68288,69399,57497,26409,96.97,95.09,96.64,84.2,45.93,35.66
"M78.D5C12.1",114772,111780,108484,109049,95045,39852,97.39,97.05,97.56,87.61,41.93,34.72
"M8.D5F41.7",108336,105394,100402,100402,84904,33986,97.28,95.26,95.26,84.56,40.03,31.37
"M80.D5F32.7",112129,109570,105808,105890,87552,33677,97.72,96.57,96.64,82.75,38.47,30.03
"M81.D2C12.8",117927,115262,112275,112409,96685,42399,97.74,97.41,97.52,86.11,43.85,35.95
"M82.D5F32.12",118032,115334,111857,111907,94286,37326,97.71,96.99,97.03,84.29,39.59,31.62
"M83.D5F41.12",49416,47833,46042,45958,39114,18700,96.8,96.26,96.08,84.95,47.81,37.84
"M85.D1F42.1",114460,110277,106019,106730,91725,39080,96.35,96.14,96.78,86.52,42.61,34.14
"M86.D2F42.8",104992,100406,93227,94749,76637,30003,95.63,92.85,94.37,82.2,39.15,28.58
"M87.D1F31.1",103140,100427,96625,96013,78555,31338,97.37,96.21,95.6,81.3,39.89,30.38
"M88.D1C11.7",116908,111636,104593,105276,86938,32288,95.49,93.69,94.3,83.12,37.14,27.62
"M91.D5F42.1",106716,104063,100358,100120,80973,34570,97.51,96.44,96.21,80.68,42.69,32.39
"M92.D1F31.10",113643,110975,106502,106660,87231,36774,97.65,95.97,96.11,81.91,42.16,32.36
"M93.D2F32.1",119689,116570,112757,112719,95565,40379,97.39,96.73,96.7,84.75,42.25,33.74
"M94.D5F42.7",115759,113064,109243,109067,89810,29017,97.67,96.62,96.46,82.21,32.31,25.07
"M95.D2C21.13",40705,39672,37987,37745,31229,14350,97.46,95.75,95.14,82.21,45.95,35.25
"M96.D2F31.8",75385,73741,71154,70914,64207,18301,97.82,96.49,96.17,90.24,28.5,24.28
